"Job_Title","Company_Name","City_State","Company_Rating","salary_Range","Post_Date","sal_hourly","min_salary","max_salary","avg_salary","job_state","pd_hourly","job_simp","seniority"
"Machine Learning Research Scientist","Facebook","Redmond, WA",4.6,"$112K-$209K (Glassdoor Est.)","2d",0,112,209,160.5,"WA",48,"mle","na"
"Data Engineer, Corporate FP&A","Amazon.com Services LLC","Seattle, WA",3.9,"$83K-$128K (Glassdoor Est.)","12d",0,83,128,105.5,"WA",288,"data engineer","na"
"Data Engineer - Python with Snowflake Experience","Capgemini","Seattle, WA",3.9,"$66K-$121K (Glassdoor Est.)","10d",0,66,121,93.5,"WA",240,"data engineer","na"
"Data Engineer - Amazon Lending","Amazon","Seattle, WA",3.9,"$83K-$128K (Glassdoor Est.)","19d",0,83,128,105.5,"WA",456,"data engineer","na"
"Data Engineer, Business Intelligence","Outreach","Seattle, WA",3.9,"$67K-$124K (Glassdoor Est.)","20d",0,67,124,95.5,"WA",480,"data engineer","na"
"Everett Data Science Tutor Jobs","Varsity Tutors","Everett, WA",4.1,"$ 13-$ 31 Per Hour(Glassdoor Est.)","6d",1,26,62,22,"WA",144,"na","na"
"Big Data Engineer, AWS","Amazon","Seattle, WA",3.9,"$83K-$128K (Glassdoor Est.)","18d",0,83,128,105.5,"WA",432,"data engineer","na"
"Data Engineer - 2021 (United States)","Amazon","Seattle, WA",3.9,"$85K-$133K (Glassdoor Est.)","12d",0,85,133,109,"WA",288,"data engineer","na"
"Principal Scientist, Human Factors in Data Science","Seattle Genetics","Bothell, WA",4.1,"$125K-$195K (Glassdoor Est.)","14d",0,125,195,160,"WA",336,"na","senior"
"RESEARCH SCIENTIST ENGINEER 1","UW Medicine","Seattle, WA",3.5,"$27K-$64K (Glassdoor Est.)","6d",0,27,64,45.5,"WA",144,"na","na"
"RESEARCH SCIENTIST ASSISTANT","University of Washington","Seattle, WA",4.2,"$25K-$57K (Glassdoor Est.)","7d",0,25,57,41,"WA",168,"na","na"
"Senior Deep Learning Scientist, Mapping & Localization - Autonomous Vehicles","NVIDIA","Redmond, WA",4.7,"$163K-$269K (Glassdoor Est.)","17d",0,163,269,216,"WA",408,"na","senior"
"Scientific Data Engineer – Data Analytics and Curation","Allen Institute","Seattle, WA",3.8,"$59K-$110K (Glassdoor Est.)","12d",0,59,110,84.5,"WA",288,"data engineer","na"
"RESEARCH SCIENTIST / ENGINEER 1","UW Medicine","Seattle, WA",3.5,"$26K-$61K (Glassdoor Est.)","24h",0,26,61,43.5,"WA",24,"na","na"
"Senior Data Analyst","Microsoft","Redmond, WA",4.3,"$113K-$199K (Glassdoor Est.)","17d",0,113,199,156,"WA",408,"analyst","senior"
"Kronos Data Engineer","VDart Inc.","Seattle, WA",4.2,"$48K-$91K (Glassdoor Est.)","2d",0,48,91,69.5,"WA",48,"data engineer","na"
"Lead AI Machine Learning Engineer","Change Healthcare","Seattle, WA",2.8,"$93K-$159K (Glassdoor Est.)","12d",0,93,159,126,"WA",288,"mle","senior"
"Principal Applied Scientist","Microsoft","Bellevue, WA",4.3,"$39K-$267K (Glassdoor Est.)","25d",0,39,267,153,"WA",600,"na","senior"
"Data Engineer with Azure Experience - Remote Position","Infotree Service Inc","Seattle, WA",3.7,"$81K-$148K (Glassdoor Est.)","26d",0,81,148,114.5,"WA",624,"data engineer","na"
