"Job_Title","Company_Name","City_State","Company_Rating","salary_Range","Post_Date","sal_hourly","min_salary","max_salary","avg_salary","job_state","pd_hourly","job_simp","seniority"
"Research Data Scientist","Facebook","Menlo Park, CA",4.6,"$108K-$174K (Glassdoor Est.)","24h",0,108,174,141,"CA",24,"data scientist","na"
"Data Scientist II, Product Analytics","Livongo","Mountain View, CA",4.7,"$145K-$163K (Glassdoor Est.)","3d",0,145,163,154,"CA",72,"data scientist","na"
"Data Scientist/ Data Automation Engineer","JSR Micro","Sunnyvale, CA",3.8,"$110K-$178K (Glassdoor Est.)","26d",0,110,178,144,"CA",624,"data scientist","na"
"SoC Performance Modeling Engineer","Samsung Semiconductor, Inc.","San Jose, CA",3.5,"$93K-$184K (Glassdoor Est.)","24h",0,93,184,138.5,"CA",24,"na","na"
"Lead Data Engineer, Big Data","Lucid Motors","Newark, CA",3.9,"$120K-$217K (Glassdoor Est.)","25d",0,120,217,168.5,"CA",600,"data engineer","senior"
"Temporary Marketing Data Analyst","Fenwick & West","Mountain View, CA",4.1,"$69K-$119K (Glassdoor Est.)","18d",0,69,119,94,"CA",432,"analyst","na"
"Staff Data Scientist","realtor.com","Santa Clara, CA",2.9,"$123K-$196K (Glassdoor Est.)","21d",0,123,196,159.5,"CA",504,"data scientist","na"
"Staff SoC Performance Modeling Engineer","Samsung Semiconductor, Inc.","San Jose, CA",3.5,"$84K-$166K (Glassdoor Est.)","24h",0,84,166,125,"CA",24,"na","na"
"Autonomous Driving Data Engineer","Lucid Motors","Newark, CA",3.9,"$99K-$178K (Glassdoor Est.)","21d",0,99,178,138.5,"CA",504,"data engineer","na"
"Risk Decision Scientist","PayPal","San Jose, CA",3.9,"$112K-$176K (Glassdoor Est.)","5d",0,112,176,144,"CA",120,"na","na"
"Data Scientist, Assay Development","GRAIL","Menlo Park, CA",3.7,"$115K-$181K (Glassdoor Est.)","17d",0,115,181,148,"CA",408,"data scientist","na"
"Director of Data Science and Analytics","BetterHelp","Mountain View, CA",4.2,"$148K-$236K (Glassdoor Est.)","24h",0,148,236,192,"CA",24,"director","na"
"Senior Data Engineer","First Tech Federal Credit Union","San Jose, CA",3.3,"$91K-$166K (Glassdoor Est.)","14d",0,91,166,128.5,"CA",336,"data engineer","senior"
"Senior Business Intelligence Analyst, Service","Bloom Energy","San Jose, CA",3.1,"$71K-$138K (Glassdoor Est.)","13d",0,71,138,104.5,"CA",312,"analyst","senior"
"Staff/Lead Data Engineer","Freedom Financial Network","San Mateo, CA",3.4,"$80K-$144K (Glassdoor Est.)","10d",0,80,144,112,"CA",240,"data engineer","senior"
"Sr. DATA SCIENTIST","Samsung Research America","Mountain View, CA",3.8,"$155K-$247K (Glassdoor Est.)","24h",0,155,247,201,"CA",24,"data scientist","senior"
"Principal Bioinformatics Scientist I","Roche","Pleasanton, CA",4.1,"$132K-$202K (Glassdoor Est.)","3d",0,132,202,167,"CA",72,"na","senior"
"Data QA Engineer","Affinity Solutions","San Jose, CA",3.2,"$48K-$82K (Glassdoor Est.)","4d",0,48,82,65,"CA",96,"na","na"
"Lead Decision Scientist","PayPal","San Jose, CA",3.9,"$137K-$216K (Glassdoor Est.)","2d",0,137,216,176.5,"CA",48,"na","senior"
"Staff Data Scientist","Intuit","Mountain View, CA",4.6,"$142K-$225K (Glassdoor Est.)","2d",0,142,225,183.5,"CA",48,"data scientist","na"
"Data Scientist, Cloud Business Operations","NetApp","Sunnyvale, CA",3.7,"$111K-$176K (Glassdoor Est.)","27d",0,111,176,143.5,"CA",648,"data scientist","na"
"Machine Learning Research Scientist","Baidu USA","Sunnyvale, CA",4.2,"$113K-$210K (Glassdoor Est.)","21d",0,113,210,161.5,"CA",504,"mle","na"
"Data Scientist","Entefy","Palo Alto, CA",4.3,"$112K-$133K (Glassdoor Est.)","3d",0,112,133,122.5,"CA",72,"data scientist","na"
"Senior Business Intelligence Analyst","Accuracy","Sunnyvale, CA",3.4,"$86K-$167K (Glassdoor Est.)","6d",0,86,167,126.5,"CA",144,"analyst","senior"
"SAP Materials Master Data Analyst - Temp","Mizuho OSI","Union City, CA",3.7,"$58K-$93K (Glassdoor Est.)","6d",0,58,93,75.5,"CA",144,"analyst","na"
"Senior or Staff Data Scientist","GRAIL","Menlo Park, CA",3.7,"$165K-$257K (Glassdoor Est.)","26d",0,165,257,211,"CA",624,"data scientist","senior"
"Lead Data Scientist","PayPal","San Jose, CA",3.9,"$130K-$205K (Glassdoor Est.)","5d",0,130,205,167.5,"CA",120,"data scientist","senior"
"Lending and Mortgage Data Analyst","Provident Credit Union","Redwood City, CA",3.9,"$46K-$82K (Glassdoor Est.)","7d",0,46,82,64,"CA",168,"analyst","na"
"Senior Data Scientist","PayPal","San Jose, CA",3.9,"$116K-$188K (Glassdoor Est.)","5d",0,116,188,152,"CA",120,"data scientist","senior"
"Data Scientist, Assay Development","GRAIL","Menlo Park, CA",3.7,"$115K-$181K (Glassdoor Est.)","17d",0,115,181,148,"CA",408,"data scientist","na"
"Scientist/Machine Learning Engineer, Applied Science","Amobee","Redwood City, CA",3.8,"$83K-$139K (Glassdoor Est.)","7d",0,83,139,111,"CA",168,"mle","na"
"Materials Scientist - Hydrogen/Tritium Effects in Materials (Experienced)","Sandia National Laboratories","Livermore, CA",3.9,"$29K-$155K (Glassdoor Est.)","4d",0,29,155,92,"CA",96,"na","na"
"Senior Data Scientist","Earnin","Palo Alto, CA",3.7,"$131K-$207K (Glassdoor Est.)","3d",0,131,207,169,"CA",72,"data scientist","senior"
"Systems Modeling Engineer","Lucid Motors","Newark, CA",3.9,"$83K-$164K (Glassdoor Est.)","21d",0,83,164,123.5,"CA",504,"na","na"
"Data Scientist - Strategy","Confluent","Mountain View, CA",4.5,"$112K-$179K (Glassdoor Est.)","10d",0,112,179,145.5,"CA",240,"data scientist","na"
"Principal Bioinformatics Scientist II, Development","Roche","Pleasanton, CA",4.1,"$132K-$202K (Glassdoor Est.)","24d",0,132,202,167,"CA",576,"na","senior"
"Lead Data Scientist","Strivr","Palo Alto, CA",4.5,"$111K-$178K (Glassdoor Est.)","26d",0,111,178,144.5,"CA",624,"data scientist","senior"
"Data Scientist","PayPal","San Jose, CA",3.9,"$100K-$159K (Glassdoor Est.)","24h",0,100,159,129.5,"CA",24,"data scientist","na"
"Research Data Scientist","Facebook","Menlo Park, CA",4.6,"$108K-$174K (Glassdoor Est.)","24h",0,108,174,141,"CA",24,"data scientist","na"
"Principal Data Scientist","Intuit","Mountain View, CA",4.6,"$140K-$222K (Glassdoor Est.)","25d",0,140,222,181,"CA",600,"data scientist","senior"
"Data Scientist, Engineering","Google","Mountain View, CA",4.5,"$118K-$193K (Glassdoor Est.)","24h",0,118,193,155.5,"CA",24,"data scientist","na"
"Data Scientist - Deep Learning","Verb Surgical","Mountain View, CA",3.5,"$117K-$143K (Glassdoor Est.)","7d",0,117,143,130,"CA",168,"data scientist","na"
"Data Scientist - Customer Success","Zoom Video Communications","San Jose, CA",4.7,"$97K-$155K (Glassdoor Est.)","6d",0,97,155,126,"CA",144,"data scientist","na"
"Search Science Data Scientist","eBay Inc.","San Jose, CA",3.7,"$103K-$168K (Glassdoor Est.)","24h",0,103,168,135.5,"CA",24,"data scientist","na"
"Data Scientist - Growth and Marketing","Confluent","Mountain View, CA",4.5,"$124K-$196K (Glassdoor Est.)","19d",0,124,196,160,"CA",456,"data scientist","na"
"Senior Data Scientist","realtor.com","Santa Clara, CA",2.9,"$91K-$145K (Glassdoor Est.)","24d",0,91,145,118,"CA",576,"data scientist","senior"
"Data Scientist - Global Business Operations","Splunk","San Jose, CA",4.1,"$121K-$191K (Glassdoor Est.)","5d",0,121,191,156,"CA",120,"data scientist","na"
"Bioinformatics Scientist 2","GRAIL","Menlo Park, CA",3.7,"$120K-$191K (Glassdoor Est.)","12d",0,120,191,155.5,"CA",288,"na","na"
"Data Scientist, Insurance","Tesla","Fremont, CA",3.5,"$102K-$160K (Glassdoor Est.)","22d",0,102,160,131,"CA",528,"data scientist","na"
"Principal Scientist Analytical Services & CMC","Intersect ENT","Menlo Park, CA",2.7,"$131K-$269K (Glassdoor Est.)","6d",0,131,269,200,"CA",144,"na","senior"
"Machine Learning Data Scientist","Apple","Santa Clara, CA",4.2,"$115K-$183K (Glassdoor Est.)","24h",0,115,183,149,"CA",24,"data scientist","na"
"Data Scientist, Product Analytics","Facebook","Menlo Park, CA",4.6,"$119K-$188K (Glassdoor Est.)","4d",0,119,188,153.5,"CA",96,"data scientist","na"
"New Graduate - Enterprise Data & Analytics (EDA) - Data Scientist","VMware","Palo Alto, CA",4.2,"$94K-$151K (Glassdoor Est.)","19d",0,94,151,122.5,"CA",456,"data scientist","na"
"Staff BI and Data Engineer","Affinity Solutions","San Jose, CA",3.2,"$105K-$124K (Glassdoor Est.)","12d",0,105,124,114.5,"CA",288,"data engineer","na"
"Sr or Principal Data Scientist","Freedom Financial Network","San Mateo, CA",3.4,"$104K-$167K (Glassdoor Est.)","10d",0,104,167,135.5,"CA",240,"data scientist","senior"
"Data Scientist","PubMatic","Redwood City, CA",4.1,"$115K-$184K (Glassdoor Est.)","19d",0,115,184,149.5,"CA",456,"data scientist","na"
"Data Scientist (2 Year Fixed Term)","Stanford University School of Medicine","Stanford, CA",4.1,"$91K-$146K (Glassdoor Est.)","14d",0,91,146,118.5,"CA",336,"data scientist","na"
"Analyst, CX Data Science","TriNet","Dublin, CA",3.3,"$112K-$176K (Glassdoor Est.)","26d",0,112,176,144,"CA",624,"analyst","na"
"Software Engineer in Big Data Infra","PayPal","San Jose, CA",3.9,"$92K-$170K (Glassdoor Est.)","13d",0,92,170,131,"CA",312,"na","na"
"Sr. Manager / Principal Engineer - Big Data","Fanatics","San Mateo, CA",3.4,"$210K-$361K (Glassdoor Est.)","18d",0,210,361,285.5,"CA",432,"manager","senior"
"Senior Finance Data Analyst","Qualys","Foster City, CA",3.2,"$81K-$142K (Glassdoor Est.)","24d",0,81,142,111.5,"CA",576,"analyst","senior"
"Data Scientist - Business Growth","JD.com","Mountain View, CA",3.7,"$112K-$181K (Glassdoor Est.)","24h",0,112,181,146.5,"CA",24,"data scientist","na"
"Data Scientist, Analytics","Facebook","Menlo Park, CA",4.6,"$108K-$174K (Glassdoor Est.)","21d",0,108,174,141,"CA",504,"data scientist","na"
"Machine Learning Data Scientist","Intel Corporation","Santa Clara, CA",4.1,"$115K-$181K (Glassdoor Est.)","3d",0,115,181,148,"CA",72,"data scientist","na"
"Research Scientist (Machine Learning and Artificial Intelligence)","Samsung Research America","Mountain View, CA",3.8,"$101K-$175K (Glassdoor Est.)","4d",0,101,175,138,"CA",96,"mle","na"
"Data Scientist","Flexton","Santa Clara, CA",4.1,"$100K-$136K (Glassdoor Est.)","5d",0,100,136,118,"CA",120,"data scientist","na"
"Research Scientist (Computational Biology)","Baidu USA","Sunnyvale, CA",4.2,"$82K-$131K (Glassdoor Est.)","20d",0,82,131,106.5,"CA",480,"na","na"
"Data Scientist","ByteDance","Mountain View, CA",3.8,"$69K-$116K (Glassdoor Est.)","5d",0,69,116,92.5,"CA",120,"data scientist","na"
"Data Scientist 1","PayPal","San Jose, CA",3.9,"$94K-$152K (Glassdoor Est.)","14d",0,94,152,123,"CA",336,"data scientist","na"
"Data Science Engineer, Recent Graduate","eBay Inc.","San Jose, CA",3.7,"$93K-$164K (Glassdoor Est.)","15d",0,93,164,128.5,"CA",360,"na","na"
"Data Scientist, Product Analytics - Ads Ranking","Facebook","Menlo Park, CA",4.6,"$119K-$188K (Glassdoor Est.)","24h",0,119,188,153.5,"CA",24,"data scientist","na"
"Staff Software Engineer - Data Platform","Strivr","Palo Alto, CA",4.5,"$87K-$173K (Glassdoor Est.)","24d",0,87,173,130,"CA",576,"na","na"
"Data Scientist - Analytics, Trust & Safety","ByteDance","Mountain View, CA",3.8,"$69K-$116K (Glassdoor Est.)","14d",0,69,116,92.5,"CA",336,"data scientist","na"
"Data Scientist","Jabil","San Jose, CA",3.8,"$88K-$119K (Glassdoor Est.)","26d",0,88,119,103.5,"CA",624,"data scientist","na"
"Data Scientist, Legal","Facebook","Menlo Park, CA",4.6,"$108K-$174K (Glassdoor Est.)","24h",0,108,174,141,"CA",24,"data scientist","na"
"Staff / Senior Staff Clinical Scientist","GRAIL","Menlo Park, CA",3.7,"$ 59-$ 96 Per Hour(Glassdoor Est.)","7d",1,118,192,77.5,"CA",168,"na","senior"
"Data Scientist (2 Year Fixed Term)","Stanford University","Stanford, CA",4.3,"$75K-$123K (Glassdoor Est.)","15d",0,75,123,99,"CA",360,"data scientist","na"
"Data Scientist Intern (Summer 2021)","C3.ai","Redwood City, CA",4.5,"$112K-$178K (Glassdoor Est.)","6d",0,112,178,145,"CA",144,"data scientist","na"
"Data Scientist","Lawrence Livermore National Lab","Livermore, CA",4.7,"$125K-$156K (Glassdoor Est.)","7d",0,125,156,140.5,"CA",168,"data scientist","na"
"Data Scientist, Networking","ByteDance","Mountain View, CA",3.8,"$78K-$129K (Glassdoor Est.)","6d",0,78,129,103.5,"CA",144,"data scientist","na"
"Data Scientist, Toolbox Software","Tesla","Palo Alto, CA",3.5,"$97K-$154K (Glassdoor Est.)","6d",0,97,154,125.5,"CA",144,"data scientist","na"
"Data Scientist - Fraud Engineering, Algorithms, and Risk","Apple","Santa Clara, CA",4.2,"$117K-$154K (Glassdoor Est.)","19d",0,117,154,135.5,"CA",456,"data scientist","na"
"Vitria Data Scientist","Vitria Technology","Menlo Park, CA",3.5,"$115K-$154K (Glassdoor Est.)","4d",0,115,154,134.5,"CA",96,"data scientist","na"
"Data Scientist","SAP","Palo Alto, CA",4.6,"$95K-$151K (Glassdoor Est.)","24h",0,95,151,123,"CA",24,"data scientist","na"
"Data Scientist","Savari","Santa Clara, CA",3.6,"$66K-$109K (Glassdoor Est.)","15d",0,66,109,87.5,"CA",360,"data scientist","na"
"Data Scientist","Facebook","Fremont, CA",4.6,"$108K-$174K (Glassdoor Est.)","14d",0,108,174,141,"CA",336,"data scientist","na"
"Manager, Data Science - Growth Machine Learning","Livongo","Mountain View, CA",4.7,"$106K-$171K (Glassdoor Est.)","13d",0,106,171,138.5,"CA",312,"mle","na"
"Data Scientist","Waymo","Mountain View, CA",2.9,"$88K-$134K (Glassdoor Est.)","7d",0,88,134,111,"CA",168,"data scientist","na"
"Data Scientist I","Central Business Solutions, Inc","Santa Clara, CA",3,"$65K-$108K (Glassdoor Est.)","10d",0,65,108,86.5,"CA",240,"data scientist","na"
"Data Scientist, Payments Data Science, WPC Analytics - SCV","Apple","Santa Clara, CA",4.2,"$115K-$183K (Glassdoor Est.)","19d",0,115,183,149,"CA",456,"data scientist","na"
"Data Scientist - Entry Level","Lawrence Livermore National Lab","Livermore, CA",4.7,"$88K-$142K (Glassdoor Est.)","20d",0,88,142,115,"CA",480,"data scientist","na"
"Senior Machine Learning Engineer","Entefy","Palo Alto, CA",4.3,"$123K-$146K (Glassdoor Est.)","11d",0,123,146,134.5,"CA",264,"mle","senior"
"Data Scientist","Apple","Santa Clara, CA",4.2,"$115K-$183K (Glassdoor Est.)","3d",0,115,183,149,"CA",72,"data scientist","na"
"Upstart - Data Scientist","V3 Talent Partners Inc.","San Carlos, CA",NA,"$110K-$143K (Glassdoor Est.)","5d",0,110,143,126.5,"CA",120,"data scientist","na"
"Data Scientist, Analytics - Messaging Platform","Facebook","Menlo Park, CA",4.6,"$119K-$188K (Glassdoor Est.)","24h",0,119,188,153.5,"CA",24,"data scientist","na"
"Senior Scientist, in Vivo Pharmacology","Recursion Pharmaceuticals","Milpitas, CA",4.6,"$115K-$216K (Glassdoor Est.)","20d",0,115,216,165.5,"CA",480,"na","senior"
"Data Engineer","L&T Infotech","San Jose, CA",3.6,"$73K-$130K (Glassdoor Est.)","24h",0,73,130,101.5,"CA",24,"data engineer","na"
"Machine Learning Scientist","PlusAI","Cupertino, CA",5,"$96K-$161K (Glassdoor Est.)","3d",0,96,161,128.5,"CA",72,"mle","na"
"Data Scientist - Metrics & Product Validation","Aurora","Palo Alto, CA",4.7,"$108K-$173K (Glassdoor Est.)","14d",0,108,173,140.5,"CA",336,"data scientist","na"
"Data Scientist","Safeway Inc","Pleasanton, CA",3.2,"$77K-$124K (Glassdoor Est.)","24h",0,77,124,100.5,"CA",24,"data scientist","na"
"Data Scientist, Operations Data Science","Google","Mountain View, CA",4.5,"$118K-$193K (Glassdoor Est.)","11d",0,118,193,155.5,"CA",264,"data scientist","na"
"Data Scientist 2","PayPal","San Jose, CA",3.9,"$112K-$178K (Glassdoor Est.)","18d",0,112,178,145,"CA",432,"data scientist","na"
"Data Scientist","Natera","San Carlos, CA",4,"$89K-$142K (Glassdoor Est.)","21d",0,89,142,115.5,"CA",504,"data scientist","na"
"Data Scientist, Analytics","Evernote","Redwood City, CA",4.1,"$119K-$191K (Glassdoor Est.)","5d",0,119,191,155,"CA",120,"data scientist","na"
"Principal Level Data Engineer","Freedom Financial Network","San Mateo, CA",3.4,"$110K-$194K (Glassdoor Est.)","10d",0,110,194,152,"CA",240,"data engineer","senior"
"Sr Data Engineer #6580","Fanatics","San Mateo, CA",3.4,"$157K-$270K (Glassdoor Est.)","17d",0,157,270,213.5,"CA",408,"data engineer","senior"
"Data Scientist, SBG","Facebook","Menlo Park, CA",4.6,"$108K-$174K (Glassdoor Est.)","24h",0,108,174,141,"CA",24,"data scientist","na"
"Data Scientist, Analytics - AI Commerce","Facebook","Menlo Park, CA",4.6,"$126K-$198K (Glassdoor Est.)","24h",0,126,198,162,"CA",24,"data scientist","na"
"Data Scientist","C3.ai","Redwood City, CA",4.5,"$111K-$175K (Glassdoor Est.)","13d",0,111,175,143,"CA",312,"data scientist","na"
"Senior Data Scientist","Intuit","Mountain View, CA",4.6,"$118K-$189K (Glassdoor Est.)","17d",0,118,189,153.5,"CA",408,"data scientist","senior"
"Data Scientist","McAfee","San Jose, CA",3.6,"$107K-$170K (Glassdoor Est.)","3d",0,107,170,138.5,"CA",72,"data scientist","na"
"Product Analyst, Data Science","Google","Mountain View, CA",4.5,"$60K-$106K (Glassdoor Est.)","24h",0,60,106,83,"CA",24,"analyst","na"
"Data Scientist, Autonomy Systems","Nuro","Mountain View, CA",4.3,"$98K-$157K (Glassdoor Est.)","21d",0,98,157,127.5,"CA",504,"data scientist","na"
"Data Scientist","Sartorius","Fremont, CA",3.6,"$82K-$131K (Glassdoor Est.)","21d",0,82,131,106.5,"CA",504,"data scientist","na"
"Sr. Data Scientist","Samsung Research America","Mountain View, CA",3,"$137K-$218K (Glassdoor Est.)","24h",0,137,218,177.5,"CA",24,"data scientist","senior"
"AI/ML - Embedded Data Scientist, Siri Data","Apple","Santa Clara, CA",4.2,"$117K-$186K (Glassdoor Est.)","4d",0,117,186,151.5,"CA",96,"data scientist","na"
"Marketing Data Scientist","Google","Mountain View, CA",4.5,"$118K-$193K (Glassdoor Est.)","12d",0,118,193,155.5,"CA",288,"data scientist","na"
"Statistical Scientist","Exponent","Menlo Park, CA",3.6,"$86K-$97K (Glassdoor Est.)","14d",0,86,97,91.5,"CA",336,"na","na"
"Annotations Scientist","23andMe","Sunnyvale, CA",4.2,"$68K-$141K (Glassdoor Est.)","14d",0,68,141,104.5,"CA",336,"na","na"
"Data Scientist, Finance","Facebook","Menlo Park, CA",4.6,"$119K-$188K (Glassdoor Est.)","24h",0,119,188,153.5,"CA",24,"data scientist","na"
"Data Scientist","Upstart Network, Inc.","San Mateo, CA",4.4,"$114K-$182K (Glassdoor Est.)","24h",0,114,182,148,"CA",24,"data scientist","na"
"Data Scientist, Analytics - Messaging Search","Facebook","Menlo Park, CA",4.6,"$119K-$188K (Glassdoor Est.)","24d",0,119,188,153.5,"CA",576,"data scientist","na"
"Data Scientist, Auction and Delivery","Facebook","Menlo Park, CA",4.6,"$121K-$192K (Glassdoor Est.)","3d",0,121,192,156.5,"CA",72,"data scientist","na"
"Sr. Staff Data Analyst - Marketing Analytics Manager","Freedom Financial Network","San Mateo, CA",3.4,"$86K-$154K (Glassdoor Est.)","5d",0,86,154,120,"CA",120,"analyst","senior"
"Data Scientist","Farmer's Business Network, Inc.","San Carlos, CA",3.3,"$111K-$177K (Glassdoor Est.)","11d",0,111,177,144,"CA",264,"data scientist","na"
"Data Science","Aible","Foster City, CA",5,"$106K-$143K (Glassdoor Est.)","24d",0,106,143,124.5,"CA",576,"na","na"
"Data Scientist","Mobileum","Cupertino, CA",3,"$90K-$146K (Glassdoor Est.)","18d",0,90,146,118,"CA",432,"data scientist","na"
"Data Scientist","Hyundai America Technical Center","Mountain View, CA",2.7,"$107K-$175K (Glassdoor Est.)","24h",0,107,175,141,"CA",24,"data scientist","na"
"Data Analyst","Snowflake","San Mateo, CA",4.2,"$79K-$144K (Glassdoor Est.)","12d",0,79,144,111.5,"CA",288,"analyst","na"
"Senior/Staff Software Engineer, Data Infrastructure","Earnin","Palo Alto, CA",3.7,"$116K-$227K (Glassdoor Est.)","12d",0,116,227,171.5,"CA",288,"na","senior"
"Data Scientist","Lorven Technologies Inc","Santa Clara, CA",4.2,"$112K-$133K (Glassdoor Est.)","3d",0,112,133,122.5,"CA",72,"data scientist","na"
"Data Scientist, Product Analytics - Spark AR","Facebook","Menlo Park, CA",4.6,"$126K-$198K (Glassdoor Est.)","24h",0,126,198,162,"CA",24,"data scientist","na"
"Data Scientist- Apple Cloud Services","Apple","Santa Clara, CA",4.2,"$117K-$186K (Glassdoor Est.)","6d",0,117,186,151.5,"CA",144,"data scientist","na"
"Data Scientist - Clinical Services","Livongo","Mountain View, CA",4.7,"$106K-$171K (Glassdoor Est.)","3d",0,106,171,138.5,"CA",72,"data scientist","na"
"Data Scientist","IntelliPro Group Inc.","Santa Clara, CA",4.2,"$66K-$111K (Glassdoor Est.)","27d",0,66,111,88.5,"CA",648,"data scientist","na"
"Data Scientist II, Client Analytics","Livongo","Mountain View, CA",4.7,"$97K-$159K (Glassdoor Est.)","13d",0,97,159,128,"CA",312,"data scientist","na"
"Statistician (Data Scientist) *12 month Roster* *Direct Hire*","Internal Revenue Service","San Jose, CA",3.6,"$90K-$149K (Glassdoor Est.)","7d",0,90,149,119.5,"CA",168,"data scientist","na"
"Data Scientist","Albertsons Companies","Pleasanton, CA",3.4,"$76K-$122K (Glassdoor Est.)","24h",0,76,122,99,"CA",24,"data scientist","na"
"Applied Machine Learning Scientist","Livongo","Mountain View, CA",4.7,"$109K-$188K (Glassdoor Est.)","13d",0,109,188,148.5,"CA",312,"mle","na"
"Data Scientist, Analytics - Sales & Marketing Interfaces","Facebook","Menlo Park, CA",4.6,"$119K-$188K (Glassdoor Est.)","24h",0,119,188,153.5,"CA",24,"data scientist","na"
"Decision Scientist","Facebook","Menlo Park, CA",4.6,"$121K-$192K (Glassdoor Est.)","24h",0,121,192,156.5,"CA",24,"na","na"
"Marketing Data Analyst","Joomag, Inc.","San Jose, CA",4,"$69K-$131K (Glassdoor Est.)","5d",0,69,131,100,"CA",120,"analyst","na"
"Data Scientist - Customer Success","Zoom","San Jose, CA",3.2,"$115K-$186K (Glassdoor Est.)","6d",0,115,186,150.5,"CA",144,"data scientist","na"
"Data Analytics/ Data scientist","Sharpedge Solutions Inc","Menlo Park, CA",4.7,"$90K-$145K (Glassdoor Est.)","3d",0,90,145,117.5,"CA",72,"data scientist","na"
"Group Manager - Data Science","Intuit","Mountain View, CA",4.3,"$128K-$205K (Glassdoor Est.)","13d",0,128,205,166.5,"CA",312,"manager","na"
"Machine Learning Engineer - Fraud Engineering, Algorithms, and Risk","Apple","Santa Clara, CA",4.2,"$134K-$210K (Glassdoor Est.)","2d",0,134,210,172,"CA",48,"mle","na"
"Applied Scientist","Amazon","East Palo Alto, CA",3.9,"$31K-$222K (Glassdoor Est.)","17d",0,31,222,126.5,"CA",408,"na","na"
"Scientist, Data Mining","TCL Research America","San Jose, CA",3.5,"$78K-$126K (Glassdoor Est.)","15d",0,78,126,102,"CA",360,"na","na"
"Senior Business Data Analyst","Intuit","Mountain View, CA",4.6,"$89K-$155K (Glassdoor Est.)","17d",0,89,155,122,"CA",408,"analyst","senior"
"Data Scientist - Nationwide Opportunities","Amazon","Palo Alto, CA",3.9,"$104K-$166K (Glassdoor Est.)","27d",0,104,166,135,"CA",648,"data scientist","na"
"Data Scientist, Analytics - Family Ecosystems","Facebook","Menlo Park, CA",4.6,"$126K-$198K (Glassdoor Est.)","20d",0,126,198,162,"CA",480,"data scientist","na"
"Data Scientist (Full Time; Multiple Openings)","RingCentral","Belmont, CA",4.6,"$88K-$140K (Glassdoor Est.)","11d",0,88,140,114,"CA",264,"data scientist","na"
"Senior Business Intelligence Analyst","EOS","Fremont, CA",3.4,"$69K-$135K (Glassdoor Est.)","10d",0,69,135,102,"CA",240,"analyst","senior"
"Data Scientist, Charging Data & Modeling","Tesla","Palo Alto, CA",3.5,"$97K-$154K (Glassdoor Est.)","27d",0,97,154,125.5,"CA",648,"data scientist","na"
"Data Scientist (Multiple Levels)","Plume","Palo Alto, CA",4.5,"$84K-$137K (Glassdoor Est.)","2d",0,84,137,110.5,"CA",48,"data scientist","na"
"Data Scientist, Reliability Engineering","Tesla","Palo Alto, CA",3.5,"$97K-$154K (Glassdoor Est.)","3d",0,97,154,125.5,"CA",72,"data scientist","na"
"Machine Learning Engineer","IntelliPro Group Inc.","Sunnyvale, CA",4.2,"$107K-$174K (Glassdoor Est.)","6d",0,107,174,140.5,"CA",144,"mle","na"
"Data Scientist II, Growth Analytics","Livongo","Mountain View, CA",4.7,"$97K-$159K (Glassdoor Est.)","25d",0,97,159,128,"CA",600,"data scientist","na"
"Search Science Data Scientist 2","eBay Inc.","San Jose, CA",3.7,"$99K-$161K (Glassdoor Est.)","24h",0,99,161,130,"CA",24,"data scientist","na"
"Associate Director, Clinical Scientist – Transplant/Hematology","Jazz Pharma","Palo Alto, CA",3.5,"$145K-$250K (Glassdoor Est.)","24h",0,145,250,197.5,"CA",24,"director","na"
"Workday Data Consultant","Collaborative Solutions","Pleasanton, CA",3.5,"$60K-$111K (Glassdoor Est.)","4d",0,60,111,85.5,"CA",96,"na","na"
"Data Analyst - University Graduate","PayPal","San Jose, CA",3.9,"$68K-$118K (Glassdoor Est.)","24h",0,68,118,93,"CA",24,"analyst","na"
"Data Scientist / Data Engineer","IntelliPro Group Inc.","Redwood City, CA",4.2,"$83K-$110K (Glassdoor Est.)","17d",0,83,110,96.5,"CA",408,"data scientist","na"
"Business Intelligence Analyst, Finance","Google","Sunnyvale, CA",4.5,"$77K-$148K (Glassdoor Est.)","24h",0,77,148,112.5,"CA",24,"analyst","na"
"Machine Learning Engineer","Liftoff","Redwood City, CA",4.7,"$157K-$203K (Glassdoor Est.)","12d",0,157,203,180,"CA",288,"mle","na"
"Data Science Engineering, Machine Learning","Salesforce","Palo Alto, CA",4.4,"$110K-$189K (Glassdoor Est.)","27d",0,110,189,149.5,"CA",648,"mle","na"
"Data Scientist, Analytics - Ads Delivery (App Monetization)","Facebook","Menlo Park, CA",4.6,"$119K-$188K (Glassdoor Est.)","24h",0,119,188,153.5,"CA",24,"data scientist","na"
"Machine Learning Scientist","Blue River Technology","Sunnyvale, CA",4.4,"$122K-$188K (Glassdoor Est.)","28d",0,122,188,155,"CA",672,"mle","na"
"Data Scientist","Central Business Solutions, Inc","Pleasanton, CA",3,"$72K-$117K (Glassdoor Est.)","17d",0,72,117,94.5,"CA",408,"data scientist","na"
"Machine Learning Scientist","Amazon","Sunnyvale, CA",3.9,"$123K-$191K (Glassdoor Est.)","24d",0,123,191,157,"CA",576,"mle","na"
"Data Scientist/Research Engineer","Apixio","San Mateo, CA",4.3,"$83K-$138K (Glassdoor Est.)","14d",0,83,138,110.5,"CA",336,"data scientist","na"
